accuracy,loss,val_accuracy,val_loss,learning_rate
0.7156091332435608,1.071824073791504,0.8491819500923157,0.6074981093406677,9.999999747378752e-05
0.8061425685882568,0.6974358558654785,0.8894082903862,0.41984695196151733,9.999999747378752e-05
0.8424875736236572,0.5455672740936279,0.9087218642234802,0.3360999822616577,9.999999747378752e-05
0.8660683631896973,0.45370692014694214,0.9202854037284851,0.28671765327453613,9.999999747378752e-05
0.8813327550888062,0.39881467819213867,0.9292656183242798,0.2477477788925171,9.999999747378752e-05
0.8932810425758362,0.35565319657325745,0.9368926286697388,0.22235341370105743,9.999999747378752e-05
0.9000710844993591,0.326544851064682,0.9395989775657654,0.20636878907680511,9.999999747378752e-05
0.9081506729125977,0.29702189564704895,0.9413211941719055,0.19172708690166473,9.999999747378752e-05
0.914466917514801,0.2777756452560425,0.9488251805305481,0.17837589979171753,9.999999747378752e-05
0.9180988073348999,0.261504203081131,0.9489482045173645,0.16603630781173706,9.999999747378752e-05
