accuracy,loss,val_accuracy,val_loss,learning_rate
0.604968786239624,1.5165034532546997,0.8331897854804993,0.6773822903633118,9.999999747378752e-05
0.8065110445022583,0.6794866919517517,0.8772296905517578,0.44535258412361145,9.999999747378752e-05
0.853093683719635,0.5048352479934692,0.903309166431427,0.34261125326156616,9.999999747378752e-05
0.876542866230011,0.4180181622505188,0.9172099828720093,0.2894004285335541,9.999999747378752e-05
0.8880964517593384,0.3652143180370331,0.9199163317680359,0.2645080089569092,9.999999747378752e-05
0.9009658694267273,0.3222533166408539,0.9259441494941711,0.24146364629268646,9.999999747378752e-05
0.9049925208091736,0.30330541729927063,0.9328330755233765,0.22196970880031586,9.999999747378752e-05
0.9134405255317688,0.2813528776168823,0.9325870275497437,0.21857605874538422,9.999999747378752e-05
0.9181777238845825,0.2619517743587494,0.9339402318000793,0.20742519199848175,9.999999747378752e-05
0.9214411377906799,0.2463829070329666,0.9384918212890625,0.19801193475723267,9.999999747378752e-05
