accuracy,loss,val_accuracy,val_loss,learning_rate
0.5394899845123291,1.7608578205108643,0.7537212371826172,0.9353848099708557,9.999999747378752e-05
0.7377951145172119,0.9237623810768127,0.8260548710823059,0.6459313035011292,9.999999747378752e-05
0.7897728681564331,0.7149072885513306,0.8452454209327698,0.5415323376655579,9.999999747378752e-05
0.818196177482605,0.6118478178977966,0.8672653436660767,0.4543020725250244,9.999999747378752e-05
0.8333289623260498,0.547719419002533,0.8758764863014221,0.4202099144458771,9.999999747378752e-05
0.8465931415557861,0.49848267436027527,0.8825193643569946,0.3882352411746979,9.999999747378752e-05
0.8551990985870361,0.4641524851322174,0.8862098455429077,0.371298611164093,9.999999747378752e-05
0.8630154728889465,0.44192197918891907,0.8933448195457458,0.3563305735588074,9.999999747378752e-05
0.8704107999801636,0.4179014563560486,0.8962972164154053,0.33474797010421753,9.999999747378752e-05
0.8750954270362854,0.4024454355239868,0.8966662287712097,0.3371257483959198,9.999999747378752e-05
